Code,Index,IsTurnedOn,Name,Long Name,NumCohorts,NumGeneTypes,NumStages,NumSpawns,NumAgeClassSize,NumStocks,VerticallyMigrates,HorizontallyMigrates,isFished,IsImpacted,isTAC,InvertType,isPredator,IsCover,isSiliconDep,isAssessed,IsCatchGrazer,isOverWinter,isCultured,isHabDepend
AQS,0,1,Aquacult_Salmon,Aquaculture Salmon,3,1,2,1,1,1,1,1,1,1,0,FISH,1,0,0,1,0,0,1,0
AQT,1,1,Aquacult_Tuna,Aquaculture Tuna,2,1,1,1,1,1,1,1,1,1,0,FISH,1,0,0,1,0,0,1,0
AQM,2,1,Aquacult_Mollusc,Aquaculture Oysters Mussels and Abalone,1,1,1,1,1,1,0,0,1,1,0,SED_EP_FF,1,0,0,1,0,0,1,0
AQP,3,1,Aquacult_Crustacean,Aquaculture Prawns,1,1,1,1,1,1,0,0,1,1,0,MOB_EP_OTHER,1,0,0,1,0,0,1,0
FPL,4,1,Planktiv_L_Fish,Large planktivorous fish,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FBG,5,1,Grenadier,Blue grenader,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1
FPS,6,1,Planktiv_S_Fish,Small planktivorous fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FVD,7,1,Pisciv_D_Fish,Ocean piscivorous fish,10,1,2,1,2,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FBM,8,1,Banded_Morwong,Banded morwong,10,1,2,1,9,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1
FVS,9,1,Pisciv_S_Fish,Shallow piscivorous fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
FDR,10,1,Reef_Fish,Shallow demersal reef fish,10,1,2,1,1,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,1
FVT,11,1,Pisciv_T_Fish,Large piscivorous fish (tuna),10,1,2,1,4,1,1,1,1,1,1,FISH,1,0,0,1,0,0,0,0
